Title,Artist,Genre,Year,BPM,Energy,Danceability,Length,Popularity
Pompeii,Bastille,metropopolis,2014,127,72,68,214,73
Team,Lorde,art pop,2014,100,58,69,193,73
Love Me Again,John Newman,pop,2014,126,89,50,240,73
Latch,Disclosure,house,2014,122,73,50,256,72
Adore You,Miley Cyrus,dance pop,2014,120,66,58,279,72
Love Never Felt So Good,Michael Jackson,pop,2014,118,72,78,246,71
Burn,Ellie Goulding,dance pop,2014,87,78,56,231,71
She Looks So Perfect,5 Seconds of Summer,boy band,2014,160,95,49,202,71
Fancy,Iggy Azalea,australian hip hop,2014,95,72,91,200,70
Talk Dirty (feat. 2 Chainz),Jason Derulo,dance pop,2014,100,65,76,178,68
Gorilla,Bruno Mars,pop,2014,140,54,72,244,68
human,Christina Perri,dance pop,2014,144,49,44,251,68
Young Girls,Bruno Mars,pop,2014,126,75,56,229,67
Wiggle (feat. Snoop Dogg),Jason Derulo,dance pop,2014,82,62,70,193,67
Love Runs Out,OneRepublic,dance pop,2014,120,93,72,225,66
This Is How We Do,Katy Perry,dance pop,2014,96,64,69,204,66
Mmm Yeah (feat. Pitbull),Austin Mahone,dance pop,2014,126,92,71,232,65
A Little Party Never Killed Nobody (All We Got),Fergie,dance pop,2014,130,62,76,241,65
#SELFIE,The Chainsmokers,electropop,2014,128,92,79,184,65
Partition,Beyonce,dance pop,2014,186,44,41,319,65
Birthday,Katy Perry,dance pop,2014,126,67,72,215,65
G.U.Y.,Lady Gaga,dance pop,2014,110,92,62,233,65
Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,complextro,2014,128,74,60,217,64
"Let It Go - From ""Frozen / Single Version",Demi Lovato,dance pop,2014,140,66,50,226,63
Wings,Birdy,neo mellow,2014,83,71,47,252,62
Can't Remember to Forget You (feat. Rihanna),Shakira,colombian pop,2014,138,81,69,207,62
Shot Me Down (feat. Skylar Grey) - Radio Edit,David Guetta,dance pop,2014,192,77,35,191,61
Say Something,A Great Big World,neo mellow,2014,138,15,45,229,61
A Sky Full of Stars,Coldplay,permanent wave,2014,125,68,55,268,60
Come Get It Bae,Pharrell Williams,dance pop,2014,120,80,93,202,59
Chandelier,Sia,australian dance,2014,174,78,29,216,56
XO,Beyonce,dance pop,2014,170,79,47,216,56
We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song],Pitbull,dance pop,2014,125,94,60,222,56
Not About Angels,Birdy,neo mellow,2014,116,14,41,190,56
Drunk in Love,Beyonce,dance pop,2014,140,62,59,323,52
Anaconda,Nicki Minaj,dance pop,2014,130,60,96,260,50
Boom Clap - From the Motion Picture Das Schicksal ist ein mieser Verr鋞er,Charli XCX,candy pop,2014,92,81,68,169,50
La La La (Brasil 2014) (feat. Carlinhos Brown),Shakira,colombian pop,2014,128,82,80,198,50
Tee Shirt - Soundtrack Version,Birdy,neo mellow,2014,76,34,68,160,49
